year,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2015, 0.0578, 0.0874, 0.0948, 0.0790, 0.0461, 0.0130, 0.0008
2016, 0.0578, 0.0874, 0.0948, 0.0790, 0.0461, 0.0130, 0.0008
2017, 0.0578, 0.0874, 0.0948, 0.0790, 0.0461, 0.0130, 0.0008
2018, 0.0578, 0.0874, 0.0948, 0.0790, 0.0461, 0.0130, 0.0008
2019, 0.0578, 0.0874, 0.0948, 0.0790, 0.0461, 0.0130, 0.0008
2020, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2021, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2022, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2023, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2024, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2025, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2026, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2027, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2028, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2029, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2030, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2031, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2032, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2033, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2034, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2035, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2036, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
2037, 0.0562, 0.0850, 0.0924, 0.0773, 0.0453, 0.0129, 0.0008
