meses,ponderador
0,1.0695143847938193
1,1.1341096713868128
2,1.1947031398158299
3,1.25197207573499
4,1.3064308173364416
5,1.358479167828012
6,1.4084340649524008
7,1.4565510087207458
8,1.5030389816187184
9,1.5480710976661434
10,1.5917923684325903
11,1.6343254747316962
12,1.675775128659699
13,1.7162314199542534
14,1.755772417885398
15,1.7944662189879341
16,1.8323725764991288
17,1.8695442100248867
18,1.9060278679038003
19,1.941865196272939
20,1.9770934555626116
21,2.0117461154747898
22,2.0458533523667524
23,2.079442467641578
24,2.1125382417377514
25,2.1451632352589747
26,2.1773380464421606
27,2.2090815323468043
28,2.2404109997321977
29,2.271342370474636
30,2.301890325494097
31,2.332068430456108
32,2.3618892459498118
33,2.391364424387457
34,2.4205047955005905
35,2.449320442006338
36,2.4778207667695833
37,2.506014552582791
38,2.533910015516322
39,2.561514852651615
40,2.5888362848923077
41,2.615881095450079
42,2.6426556645192223
43,2.6691660005840867
44,2.6954177687442904
45,2.7214163163922307
46,2.7471666965344435
47,2.7726736890115804
48,2.7979418198402093
49,2.8229753788724445
50,2.8477784359459846
51,2.8723548556767953
52,2.8967083110290917
53,2.9208422957819105
54,2.944760135998226
55,2.96846500059087
56,2.9919599110692845
57,3.0152477505421578
58,3.0383312720430897
59,3.061213106239476
60,3.0838957685786275
61,3.106381665919738
62,3.128673102695438
63,3.1507722866424372
64,3.172681334136905
65,3.1944022751668677
66,3.2159370579708537
67,3.237287553369324
68,3.2584555588129627
69,3.2794428021697835
70,3.300250945270981
71,3.3208815872337727
72,3.341336267577815
73,3.361616469150436
74,3.3817236208745487
75,3.4016591003320213
76,3.4214242361941634
77,3.4410203105100754
78,3.46044856086271
79,3.4797101824017256
80,3.4988063297614755
81,3.517738118871853
82,3.5365066286690623
83,3.5551129027129225
84,3.573557950716728
85,3.591842749995298
86,3.609968246836409
87,3.6279353578004154
88,3.64574497095253
89,3.6633979470319122
90,3.6808951205613973
91,3.698237300901469
92,3.715425273251787
93,3.7324597996033773
94,3.749341619644373
95,3.7660714516219898
96,3.7826499931632704
97,3.7990779220569206
98,3.815355896998434
99,3.8314845583005686
100,3.847464528571073
101,3.8632964133594703
102,3.8789808017745653
103,3.894518267074276
104,3.909909367229233
105,3.9251546454615553
106,3.940254630760105
107,3.955209838373422
108,3.9700207702815162
109,3.984687915647573
110,3.9992117512506
111,4.013592741899976
112,4.027831340832792
113,4.041927990094845
114,4.055883120906076
115,4.069697154011218
116,4.083370500016351
117,4.096903559712066
118,4.110296724383836
119,4.1235503761102255
120,4.136664888049494
121,4.149640624715135
122,4.162477942240856
123,4.175177188635484
124,4.187738704028246
125,4.200162820904873
126,4.212449864334919
127,4.224600152190696
128,4.236613995358181
129,4.248491697940266
130,4.2602335574526595
131,4.271839865012775
132,4.283310905521884
133,4.294646957840854
134,4.305848294959692
135,4.316915184161213
136,4.327847887179009
137,4.3386466603500216
138,4.34931175476189
139,4.3598434163953055
140,4.370241886261577
141,4.380507400535593
142,4.390640190684369
143,4.400640483591347
144,4.410508501676619
145,4.420244463013248
146,4.429848581439808
147,4.439321066669312
148,4.448662124394659
149,4.457871956390735
150,4.466950760613293
151,4.475898731294731
152,4.484716059036886
153,4.4934029309009595
154,4.501959530494671
155,4.5103860380567475
156,4.518682630538846
157,4.526849481685007
158,4.534886762108702
159,4.542794639367607
160,4.550573278036138
161,4.5582228397758575
162,4.565743483403808
163,4.573135364958858
164,4.580398637766132
165,4.587533452499563
166,4.594539957242676
167,4.601418297547628
168,4.608168616492571
169,4.6147910547374105
170,4.621285750577995
171,4.627652839998799
172,4.6338924567241415
173,4.640004732268001
174,4.64598979598246
175,4.651847775104835
176,4.657578794803515
177,4.663182978222593
178,4.668660446525263
179,4.674011318936097
180,4.67923571278217
181,4.684333743533122
182,4.689305524840157
183,4.694151168574025
184,4.698870784862018
185,4.703464482124016
186,4.707932367107598
187,4.712274544922256
188,4.716491119072743
189,4.7205821914915775
190,4.724547862570722
191,4.728388231192468
192,4.732103394759565
193,4.735693449224585
194,4.739158489118566
195,4.7424986075789555
196,4.745713896376876
197,4.74880444594371
198,4.751770345397061
199,4.754611682566067
200,4.75732854401614
201,4.759921015073071
202,4.762389179846603
203,4.764733121253423
204,4.76695292103962
205,4.769048659802619
206,4.7710204170126
207,4.772868271033418
208,4.774592299143052
209,4.776192577553567
210,4.777669181430632
211,4.779022184912588
212,4.780251661129082
213,4.781357682219289
214,4.78234031934971
215,4.783199642731586
216,4.783935721637919
217,4.7845486244201085
218,4.785038418524238
219,4.785405170506979
220,4.7856489460511735
221,4.785769809981056
222,4.785767826277158
223,4.785643058090883
224,4.785395567758772
225,4.785025416816466
226,4.784532666012363
227,4.783917375320993
228,4.783179603956102
229,4.7823194103834705
230,4.781336852333458
231,4.780231986813279
232,4.779004870119038
233,4.777655557847506
234,4.776184104907654
235,4.774590565531952
236,4.772874993287438
237,4.7710374410865555
238,4.769077961197789
239,4.766996605256051
