Unidad,proporcion,proporcion San Luis,Prop Lo Hermida
1,0.008520152721651606,0.007719,0.007719
2,0.011434833426943156,0.006007,0.006007
3,0.0,0.000900,0.000900
4,0.0,0.000000,0.000000
5,0.007853100646128729,0.002620,0.002620
6,0.0,0.001875,0.001875
7,0.0,0.003005,0.003005
8,0.006441671565596898,0.011428,0.011428
9,0.0,0.005803,0.005803
10,0.0042040295124797155,0.004399,0.004399
11,0.005824597444730586,0.005056,0.005056
12,0.0,0.000000,0.000000
13,0.0,0.002068,0.002068
14,0.0,0.002993,0.002993
15,0.0,0.002380,0.002380
16,0.0,0.001580,0.001580
17,0.009500031885218743,0.003431,0.003431
18,0.005124516891962044,0.002574,0.002574
19,0.0,0.003999,0.003999
20,0.0,0.003800,0.003800
21,0.0,0.003447,0.003447
22,0.0,0.002147,0.002147
23,0.0,0.000000,0.000000
24,0.0,0.001391,0.001391
25,0.0,0.000000,0.000000
26,0.006959366542022467,0.005235,0.005235
27,0.010137429938138794,0.008133,0.008133
28,0.0,0.001429,0.001429
30,0.007881906649065582,0.007589,0.007589
31,0.003418767331084418,0.001606,0.001606
40,0.004286534713776202,0.005548,0.005548
41,0.011967089252711347,0.005548,0.005548
42,0.005608592646349954,0.005548,0.005548
43,0.014807385171610113,0.005548,0.005548
44,0.015155761936223441,0.005548,0.005548
45,0.0036128212275162146,0.005548,0.005548
46,0.0,0.005548,0.005548
47,0.0,0.005548,0.005548
48,0.0,0.005548,0.005548
49,0.021628407474530736,0.005548,0.005548
50,0.0,0.005548,0.005548
51,0.011895783427227141,0.005548,0.005548
52,0.006889335358214034,0.005548,0.005548
53,0.0,0.005548,0.005548
54,0.0,0.005548,0.005548
55,0.004981598262653938,0.005548,0.005548
