segmento,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
men_0-9,3492.04360096,4763.65386554,5739.3996362,6562.59980984,7219.61526882,7779.15679924,8257.34365972,8663.67204032,9012.66790432,9292.23034587,9658.71166517,9976.37268512,10245.9342166,10467.9781269,10668.6354988,10834.9959965,10955.4922025,11030.4062341,11060.0009856,11044.4674326
men_10-19,2403.29978302,3399.15628512,4240.74237221,5014.78700726,5842.5685354,6438.93021284,6989.77860137,7499.23059116,7963.48489153,8379.89732107,8504.08861628,8581.56033468,8616.70282803,8613.42035458,8499.79255523,8347.58910486,8167.54596417,7963.1994024,7745.3777394,7499.37043016
men_20-44,4241.35438214,5842.10856079,7104.17834436,8195.01714005,9107.62355999,10058.3862201,10942.0070571,11764.5323479,12529.3185201,13204.9142371,13822.773047,14383.5570413,14887.4654697,15334.37269,15697.8318282,16063.6739613,16371.370295,16619.7278915,16801.6242916,16917.6569192
men_45-64,7535.8075589,10508.7161835,12934.7446635,15099.681207,16937.5714575,18615.0324014,20155.4917121,21572.538051,22874.4806914,24007.1937429,25028.8626194,25942.330253,26749.4934882,27451.5605125,28020.1769484,28312.5537969,28499.0152732,28581.5717289,28561.9479791,28702.9908609
men_65-79,9267.22120886,14031.3747755,18545.0958239,23037.5806076,28360.488062,33817.041607,39346.5215711,44894.8705159,50409.5950533,56364.7006649,62215.6813056,67892.3801484,73345.5538287,78529.6626233,84008.4223756,88402.7783729,92423.7999258,96039.5619949,99220.3012343,99404.8918318
men_80-100,2973.04921393,4257.36745904,5312.95832404,6224.47647594,7891.93408915,9475.43977948,10942.8120739,12272.9365292,13452.9778435,16037.080087,18365.8127719,20425.5183323,22211.1903915,23724.1761588,26817.2847914,30515.7516249,33656.7904842,36263.0180568,38360.4506064,42474.1384207
women_0-9,3593.53495053,4884.62327036,5863.71451033,6679.84156693,7336.3405821,7891.31783074,8361.47187582,8756.75045628,9091.33970944,9300.97980461,9667.80640409,9985.76444083,10255.5757895,10477.8226048,10678.6684742,10845.1815319,10965.794883,11040.7833382,11070.4097963,11054.865292
women_10-19,3044.17968802,4296.2990079,5348.98377983,6312.90686982,7319.29907763,8031.41794042,8681.16884016,9274.50372066,9808.42998463,10352.4003335,10483.7153376,10554.8431628,10571.4275326,10538.5302979,10392.6693512,10198.518284,9967.55313765,9704.15044795,9420.61078181,9039.86287323
women_20-44,13180.8243308,18132.7029196,22021.9753422,25370.9377546,28230.131697,31355.0273822,34298.1604324,37074.068216,39689.3758437,41944.2061968,44024.0198629,45929.1761041,47658.6172996,49210.3238988,50413.1235228,51629.6993214,52659.4383837,53498.0207072,54124.1454954,54710.7301195
women_45-64,20204.1110698,28141.9670643,34600.6721413,40349.9427826,45109.7566989,49412.3257441,53324.404115,56885.9336245,60122.4623042,63090.1089905,65763.5440097,68150.2847057,70255.407271,72082.2203398,74096.8268782,75593.0180855,76814.3404837,77757.8320498,78420.0521089,79005.0035453
women_65-79,18845.6550639,29098.0734368,39114.7494138,49324.0781476,61379.8172583,73918.2539707,86802.9850696,99911.1048552,113120.957865,127083.592217,140958.619347,154583.423611,167838.893933,180611.755247,191784.120291,199202.268187,205872.178026,211746.3699,216778.833544,217153.743946
women_80-100,5808.75953649,8105.287773,9954.87821008,11565.7348553,13989.2290653,16333.9736137,18569.8180283,20671.6863882,22619.5950574,26138.4349988,29431.5185033,32466.6292614,35220.4758755,37677.0111128,42269.1890363,51292.9338754,59358.6939766,66452.8883381,72574.9579604,81700.8503901
