zone,total,porcentage
1,32,0.532693349151
2,47,1.10897690212
3,16,0.706480386919
4,54,0.688334714369
5,114,1.11716987675
6,106,3.13548732738
7,57,1.99645367292
8,47,1.51047882755
9,22,0.692207371388
10,59,0.892179751391
11,29,0.601966882475
12,22,0.496742018984
13,32,0.71997345848
14,77,1.34219610416
15,21,0.819630516961
16,38,0.975211408574
17,69,0.805561731644
18,136,1.23843713764
19,122,0.521003709467
20,100,1.3956591278
21,77,0.618816689619
22,30,0.508352610119
23,32,0.796666996827
24,20,0.833936376654
25,60,0.669370303357
26,17,0.438071078126
27,29,0.60223943932
28,75,1.55137111477
30,62,1.80058444321
31,97,0.727855939778
40,28,0.557344459175
41,163,3.02403084975
42,160,4.17187718527
43,133,3.05225536026
44,84,2.95844749878
45,36,0.604457864838
46,7,0.187117044189
47,1,0
48,0,0.0
49,34,1.13665202735
50,10,0.288317117788
51,15,0.828335011734
52,39,1.24600836088
53,29,1.90686971681
54,12,0.2603546664
55,39,0.901944654171
